"FAQ ID","카테고리","FAQ 질문","FAQ 답변","권장 처리 의도","세부 의도"
"FAQ-001","가입/번호이동","휴대폰 신규 가입은 어떻게 하나요?","본인 인증 후 온라인 또는 매장에서 신규 가입할 수 있습니다.","FAQ_RAG","신규 가입"
"FAQ-002","가입/번호이동","다른 통신사에서 번호이동하려면 어떻게 하나요?","기존 번호를 유지한 상태로 다른 통신사로 이동할 수 있습니다.","FAQ_RAG","번호이동"
"FAQ-003","가입/번호이동","번호이동을 하면 기존 번호를 그대로 사용할 수 있나요?","네. 번호이동 시 기존 전화번호를 그대로 유지할 수 있습니다.","FAQ_RAG","번호 유지"
"FAQ-004","가입/번호이동","휴대폰 번호를 변경하려면 어떻게 하나요?","본인 인증 후 홈페이지, 고객센터 또는 매장에서 번호 변경을 신청할 수 있습니다.","FAQ_RAG","번호 변경"
"FAQ-005","가입/번호이동","번호를 변경하면 이전 번호로 온 전화나 문자를 받을 수 있나요?","일반적으로 번호 변경 후 이전 번호로 온 전화나 문자는 받을 수 없습니다.","FAQ_RAG","번호 변경 후 수신"
"FAQ-006","가입/번호이동","기기만 변경하면 전화번호도 바뀌나요?","기기만 변경하는 경우 기존 전화번호는 그대로 유지됩니다.","FAQ_RAG","기기 변경/번호 유지"
"FAQ-007","가입/번호이동","휴대폰을 바꾸면서 통신사도 변경할 수 있나요?","번호이동과 기기 변경을 함께 진행할 수 있습니다.","FAQ_RAG","기기 변경+번호이동"
"FAQ-008","가입/번호이동","통신사는 그대로 두고 휴대폰만 바꿀 수 있나요?","네. 기기 변경을 통해 기존 통신사를 유지하면서 휴대폰만 변경할 수 있습니다.","FAQ_RAG","기기 변경"
"FAQ-009","유심/eSIM","유심을 분실하면 어떻게 해야 하나요?","기존 유심을 정지한 후 새로운 유심을 재발급받는 것이 좋습니다.","FAQ_RAG","유심 분실"
"FAQ-010","유심/eSIM","유심을 재발급받으려면 어떻게 하나요?","신분증을 지참해 매장을 방문하거나 지원되는 경우 온라인으로 재발급할 수 있습니다.","FAQ_RAG","유심 재발급"
"FAQ-011","유심/eSIM","유심을 바꾸면 전화번호도 변경되나요?","유심만 교체하는 경우 기존 전화번호는 그대로 유지됩니다.","FAQ_RAG","유심/번호 유지"
"FAQ-012","유심/eSIM","유심이 휴대폰에서 인식되지 않아요.","유심을 다시 장착하고 재부팅한 뒤 문제가 계속되면 재발급을 권장합니다.","FAQ_RAG","유심 인식 오류"
"FAQ-013","유심/eSIM","기존 유심을 새 휴대폰에서도 사용할 수 있나요?","새 단말기가 유심 규격과 통신망을 지원하면 기존 유심을 사용할 수 있습니다.","FAQ_RAG","기존 유심 재사용"
"FAQ-014","유심/eSIM","eSIM이 무엇인가요?","물리적인 SIM 카드 없이 사용하는 디지털 SIM입니다.","FAQ_RAG","eSIM 개념"
"FAQ-015","유심/eSIM","eSIM을 다른 휴대폰으로 옮길 수 있나요?","단말기 변경 시 eSIM을 새 단말기에 다시 발급해야 할 수 있습니다.","FAQ_RAG","eSIM 이전"
"FAQ-016","유심/eSIM","eSIM과 일반 유심을 동시에 사용할 수 있나요?","듀얼 SIM 지원 단말기에서는 동시에 사용할 수 있습니다.","FAQ_RAG","듀얼 SIM"
"FAQ-017","데이터/속도","모바일 데이터가 갑자기 안 됩니다.","데이터 설정, 비행기 모드, 데이터 잔여량 및 네트워크 상태를 확인해 주세요.","FAQ_RAG","데이터 연결 장애"
"FAQ-018","데이터/속도","데이터 속도가 갑자기 느려졌어요.","데이터 제공량 소진이나 네트워크 혼잡 때문에 속도가 느려질 수 있습니다.","FAQ_RAG","데이터 속도 저하"
"FAQ-019","데이터/속도","데이터를 모두 사용하면 어떻게 되나요?","요금제에 따라 차단되거나 추가 과금되거나 속도가 제한될 수 있습니다.","FAQ_RAG","데이터 소진"
"FAQ-020","데이터/속도","현재까지 사용한 데이터 양은 어디에서 확인하나요?","통신사 앱이나 홈페이지의 데이터 사용량 메뉴에서 확인할 수 있습니다.","FAQ_RAG","데이터 사용량 조회"
"FAQ-021","데이터/속도","데이터가 예상보다 빨리 소진됩니다.","동영상 스트리밍, 앱 업데이트, 백그라운드 사용 등을 확인해 주세요.","FAQ_RAG","데이터 과다 사용"
"FAQ-022","데이터/속도","5G가 안 되고 LTE로만 연결됩니다.","현재 지역의 5G 음영이나 단말기 설정 때문에 LTE로 연결될 수 있습니다.","FAQ_RAG","5G 연결"
"FAQ-023","데이터/속도","모바일 데이터를 완전히 차단할 수 있나요?","휴대폰 설정이나 통신사의 데이터 차단 서비스를 이용할 수 있습니다.","FAQ_RAG","데이터 차단"
"FAQ-024","데이터/속도","특정 앱의 데이터 사용만 막을 수 있나요?","단말기 설정에서 앱별 모바일 데이터 사용을 제한할 수 있습니다.","FAQ_RAG","앱별 데이터 제한"
"FAQ-025","데이터/속도","핫스팟을 사용할 수 있나요?","테더링을 지원하는 단말기와 요금제를 이용하면 사용할 수 있습니다.","FAQ_RAG","핫스팟"
"FAQ-026","데이터/속도","핫스팟에도 데이터 제한이 있나요?","요금제에 따라 테더링 데이터 제공량이나 속도 제한이 있을 수 있습니다.","FAQ_RAG","테더링 제한"
"FAQ-027","해외 로밍","해외에서 휴대폰을 사용할 수 있나요?","자동 로밍이 지원되는 국가에서는 전화, 문자, 데이터를 사용할 수 있습니다.","FAQ_RAG","해외 사용 가능"
"FAQ-028","해외 로밍","해외 데이터 로밍 요금은 어떻게 되나요?","방문 국가와 가입한 로밍 상품에 따라 데이터 요금이 달라집니다.","FAQ_RAG","로밍 요금"
"FAQ-029","해외 로밍","해외 로밍은 어떻게 신청하나요?","앱, 홈페이지, 고객센터 또는 로밍센터에서 신청할 수 있습니다.","FAQ_RAG","로밍 신청"
"FAQ-030","해외 로밍","로밍을 신청하지 않아도 해외에서 사용할 수 있나요?","자동 로밍 국가에서는 사용할 수 있으나 높은 요금이 발생할 수 있습니다.","FAQ_RAG","자동 로밍"
"FAQ-031","해외 로밍","해외에서 데이터 사용을 차단하고 싶어요.","휴대폰에서 데이터 로밍을 끄거나 로밍 차단 서비스를 신청할 수 있습니다.","FAQ_RAG","로밍 차단"
"FAQ-032","해외 로밍","해외에서 와이파이만 사용하고 싶어요.","데이터 로밍을 끈 상태에서 Wi-Fi만 이용할 수 있습니다.","FAQ_RAG","해외 Wi-Fi"
"FAQ-033","해외 로밍","해외 로밍 요금 폭탄을 방지하려면 어떻게 하나요?","로밍 상품 가입, 데이터 사용 제한 또는 차단 서비스를 이용하는 것이 좋습니다.","FAQ_RAG","로밍 과금 방지"
"FAQ-034","해외 로밍","해외에서 전화를 받으면 요금이 발생하나요?","국가와 로밍 조건에 따라 수신 통화에도 요금이 발생할 수 있습니다.","FAQ_RAG","로밍 통화 수신"
"FAQ-035","해외 로밍","해외에서 문자 수신에도 요금이 발생하나요?","일반적으로 문자 수신은 무료지만 국가별 조건이 다를 수 있습니다.","FAQ_RAG","로밍 문자 수신"
"FAQ-036","해외 로밍","해외에서 한국으로 전화하려면 어떻게 하나요?","국가번호와 상대방 전화번호를 입력해 국제전화를 이용할 수 있습니다.","FAQ_RAG","해외 발신"
"FAQ-037","요금/청구","이번 달 휴대폰 요금을 확인하고 싶어요.","앱이나 홈페이지에서 이번 달 청구 금액을 확인할 수 있습니다.","FAQ_RAG","당월 요금 조회"
"FAQ-038","요금/청구","휴대폰 요금이 평소보다 많이 나왔어요.","데이터 추가 사용, 로밍, 소액결제, 부가서비스 등의 상세 내역을 확인해 주세요.","FAQ_RAG","요금 이상"
